match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T201979,Mumbai Vs Sunrisers,Sunrisers,Rashid Khan,4,0,40,2,10,5,2,3,0,0
T201979,Mumbai Vs Sunrisers,Sunrisers,Abhishek Sharma,1,0,4,2,4,4,0,0,1,0
T201979,Mumbai Vs Sunrisers,Mumbai,Trent Boult,4,0,30,1,7.5,8,4,0,0,0
T201979,Mumbai Vs Sunrisers,Mumbai,Jasprit Bumrah,4,0,39,2,9.75,8,4,0,3,0
T201979,Mumbai Vs Sunrisers,Mumbai,Piyush Chawla,4,0,38,1,9.5,3,3,1,0,0
T201979,Mumbai Vs Sunrisers,Mumbai,Nathan CoulterNile,4,0,40,2,10,7,6,1,0,0
T201979,Mumbai Vs Sunrisers,Mumbai,James Neesham,3,0,28,2,9.33,5,3,1,0,0
T201979,Mumbai Vs Sunrisers,Mumbai,Krunal Pandya,1,0,16,0,16,1,1,1,0,1
T204179,KKR Vs Royals,Royals,Jaydev Unadkat,4,0,35,0,8.75,8,2,2,1,0
T204179,KKR Vs Royals,Royals,Chris Morris,4,0,28,1,7,12,2,1,3,0
T204179,KKR Vs Royals,Royals,Chetan Sakariya,4,0,23,1,5.75,12,2,1,0,0
T204179,KKR Vs Royals,Royals,Mustafizur Rahman,4,0,31,0,7.75,8,2,1,1,0
T204179,KKR Vs Royals,Royals,Shivam Dube,2,0,18,0,9,1,2,0,0,0
T204179,KKR Vs Royals,Royals,Rahul Tewatia,1,0,11,1,11,1,0,1,1,0
T204179,KKR Vs Royals,Royals,Glenn Phillips,1,0,17,1,17,1,2,1,1,0
T204179,KKR Vs Royals,KKR,Shakib AlHasan,1,0,1,1,1,5,0,0,0,0
T204179,KKR Vs Royals,KKR,Shivam Mavi,3.1,0,21,4,6.63,10,3,0,0,0
T204179,KKR Vs Royals,KKR,Sunil Narine,4,0,30,0,7.5,12,1,3,0,0
T204179,KKR Vs Royals,KKR,Lockie Ferguson,4,0,18,3,4.5,17,3,0,0,0
T204179,KKR Vs Royals,KKR,Varun Chakravarthy,4,0,14,1,3.5,16,0,1,0,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Mohammed Shami,4,0,22,1,5.5,14,2,1,1,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Harpreet Brar,4,0,22,0,5.5,12,2,0,2,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Arshdeep Singh,4,0,35,2,8.75,6,3,1,1,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Chris Jordan,3,0,20,2,6.66,6,2,0,1,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Ravi Bishnoi,4,0,25,1,6.25,10,3,0,1,0
T201866,Super Kings Vs Punjab Kings,Punjab Kings,Moises Henriques,1,0,9,0,9,1,1,0,1,0
T201866,Super Kings Vs Punjab Kings,Super Kings,Deepak Chahar,4,0,48,1,12,5,3,3,3,0
T201866,Super Kings Vs Punjab Kings,Super Kings,Josh Hazlewood,3,0,22,0,7.33,10,3,1,0,0
T201866,Super Kings Vs Punjab Kings,Super Kings,Shardul Thakur,3,0,28,3,9.33,10,3,2,0,0
T201866,Super Kings Vs Punjab Kings,Super Kings,Ravindra Jadeja,1,0,9,0,9,2,0,1,0,0
T201866,Super Kings Vs Punjab Kings,Super Kings,Dwayne Bravo,2,0,32,0,16,0,0,3,2,0
T209992,Sunrisers Vs RCB,RCB,Mohammed Siraj,3,0,17,0,5.66,11,3,0,1,0
T209992,Sunrisers Vs RCB,RCB,George Garton,2,0,29,1,14.5,3,4,1,2,0
T209992,Sunrisers Vs RCB,RCB,Shahbaz Ahmed,4,0,21,0,5.25,7,1,0,0,0
T209992,Sunrisers Vs RCB,RCB,Harshal Patel,4,0,33,3,8.25,8,4,0,0,1
T209992,Sunrisers Vs RCB,RCB,Yuzvendra Chahal,4,0,27,1,6.75,9,1,1,0,0
T209992,Sunrisers Vs RCB,RCB,Dan Christian,3,0,14,2,4.66,8,1,0,0,0
